"English","Русский язык","Esperanto"
"Where can I have a shower?","Где я могу принять душ?","Kie mi povas duŝiĝi?"
"I haven't got any money.","У меня нет денег.","Mi ne havas monon"
"Could you please explain it to me?","Ты не мог бы мне это объяснить?","Ĉu vi povus klarigi tion al mi?"
"Actually, I'm on my way to meet a friend.","Вообще-то, я иду встретиться с другом.","Fakte, mi estas survoje por renkonti amikon"
"I've been very busy.","Я был очень занят.","Mi estis tre okupita"
"I need to have a shower.","Мне нужно принять душ.","Mi devas duŝiĝi"
"Is it far to the pub?","До бара далеко?","Ĉu la drinkejo estas malproksima?"
"What are you doing for Easter?","Что ты делаешь на Пасху?","Kion vi faras por Pasko?"
"Where are you going to celebrate the New Year?","Где ты собираешься справлять Новый год?","Kie vi intencas festi la Novan Jaron?"
"How long have you been in Colombia?","Как долго вы были в Колумбии?","Kiom longe vi estis en Kolombio?"
"I've never been, but I'd love to go someday.","Никогда не была, но очень хотела бы съездить когда-нибудь.","Mi neniam estis tie, sed mi tre ŝatus iri iam"
"Are you going to take a plane or a train?","Ты собираешься лететь самолётом или ехать поездом?","Ĉu vi flugos aviadile aŭ veturos trajne?"
"Which would you prefer?","Что ты предпочитаешь?","Kiun vi preferus?"
"Do you mind if I copy this list?","Вы не против, если я скопирую этот список?","Ĉu ĝenas vin, se mi kopios ĉi tiun liston?"
"I've just come back from Portugal.","Я только что вернулась из Португалии.","Mi ĵus revenis el Portugalio"
"Where do you usually spend your holidays?","Где вы обычно проводите отпуск?","Kie vi kutime pasigas viajn feriojn?"
"I usually spend my holidays in the country.","Я обычно провожу отпуск в деревне.","Mi kutime pasigas miajn feriojn en la kamparo"
"Where can I buy a map of the city?","Где я могу купить карту города?","Kie mi povas aĉeti mapon de la urbo?"
"Do you find theatre or opera more interesting?","Вам кажется более интересным театр или опера?","Ĉu vi trovas teatron aŭ operon pli interesan?"
"What sports are popular in your country?","Какие виды спорта популярны в вашей стране?","Kiuj sportoj estas popularaj en via lando?"
"Are there any pizzerias near your home?","Рядом с вашим домом есть какие-нибудь пиццерии?","Ĉu estas iuj picejoj proksime de via hejmo?"
"Do you really think that's true?","Ты действительно думаешь, что это правда?","Ĉu vi vere pensas, ke tio estas vera?"
"Do you ride the bicycle more than once a week?","Ты катаешься на велосипеде чаще, чем один раз в неделю?","Ĉu vi biciklas pli ol unu fojon semajne?"
"Why did you say that?","Почему ты это сказал?","Kial vi diris tion?"
"Why didn't I think of that?","Почему я об этом не подумал?","Kial mi ne pensis pri tio?"
"Can anyone tell me the truth?","Кто-нибудь может сказать мне правду?","Ĉu iu povas diri al mi la veron?"
"When does the circus begin?","Когда начинаются цирковые представления?","Kiam komenciĝas la cirkaj spektakloj?"
"Do you know who invented the wheel?","Ты знаешь, кто изобрёл колесо?","Ĉu vi scias, kiu inventis la radon?"
"I'm happy.","Я счастлива.","Mi estas feliĉa"
"I'm sad.","Мне грустно.","Mi estas trista"
"I'm relaxed.","Я расслаблена.","Mi estas malstreĉita"
"I'm tired.","Я устал.","Mi estas laca"
"I am hungry.","Я голодна.","Mi malsatas"
"I'm thirsty.","Я хочу пить.","Mi soifas"
"I'm calm.","Я спокоен.","Mi estas trankvila"
"I'm bored.","Мне скучно.","Mi enuas"
"I'm optimistic.","Я оптимистична.","Mi estas optimisma"
"I give up.","Я сдаюсь.","Mi rezignas"
"I feel fine.","Я чувствую себя хорошо.","Mi fartas bone"
"I don't care.","Мне всё равно.","Al mi estas egale"
"Oh my God!","О Боже мой!","Ho mia Dio!"
"What a pity!","Какая жалость!","Kia domaĝo!"
"I'm surprised.","Я удивлён.","Mi estas surprizita"
"I'm scared.","Я напугана.","Mi timas"
"I'm excited.","Я взволнован.","Mi estas ekscitita"
"I'm worried.","Я обеспокоен.","Mi maltrankvilas"
"I'm angry.","Я зол.","Mi koleras"
"I'm not sure.","Я не уверен.","Mi ne certas"
"I'm ashamed.","Мне стыдно.","Mi hontas"
"I hate you.","Я тебя ненавижу.","Mi malamas vin"
"My friend is shocked.","Мой друг шокирован.","Mia amiko estas ŝokita"
"Don't you like Laura?","Разве тебе не нравится Лаура?","Ĉu vi ne ŝatas Laŭran?"
"Yes, I like her.","Да, она мне нравится.","Jes, ŝi plaĉas al mi"
"We're so proud of you!","Мы так тобой гордимся!","Ni tiom fieras pri vi!"
"Why are you crying?","Почему ты плачешь?","Kial vi ploras?"
"Sorry to hear that.","Жаль это слышать.","Mi bedaŭras tion aŭdi"
"What a surprise!","Вот так сюрприз!","Kia surprizo!"
"Bad luck!","Вот не везёт!","Kia malŝanco!"
"I'm motivated.","Я вдохновлена.","Mi estas motivita"
"I'm exhausted.","Я измождена.","Mi estas elĉerpita"
"I'm confused.","Я в замешательстве.","Mi estas konfuzita"
"I'm embarrassed.","Я стесняюсь.","Mi sentas min ĝenata"
"I am nervous.","Я нервничаю.","Mi estas nervoza"
"I'm in a bad mood.","Я в плохом настроении.","Mi estas en malbona humoro"
"I feel terrible.","Я ужасно себя чувствую.","Mi sentas min terure"
"I feel lost.","Я растеряна.","Mi sentas min perdita"
"I'm feeling a little dizzy.","У меня немного кружится голова.","Mi sentas iom da kapturno"
"I'm not afraid.","Я не боюсь.","Mi ne timas"
"I'm not discouraged.","Я не обескуражен.","Mi ne estas malkuraĝigita"
"Why are you laughing?","Почему ты смеёшься?","Kial vi ridas?"
"You must be kidding!","Ты, наверное, шутишь!","Vi certe ŝercas!"
"He is so angry at himself.","Он так зол на себя.","Li estas tiel kolera kontraŭ si mem"
"Oh God, what a mess!","О Боже, какой беспорядок!","Ho Dio, kia malordo!"
"We are so sorry to hear about your loss.","Нам так жаль слышать о твоей потере.","Ni tre bedaŭras aŭdi pri via perdo"
"Please accept our deepest condolences.","Пожалуйста, примите наши глубочайшие соболезнования.","Bonvolu akcepti niajn plej profundajn kondolencojn"
"Our thoughts are with you and your family.","Мы мысленно с вами и вашей семьёй.","Niaj pensoj estas kun vi kaj via familio"
"I need your help.","Мне нужна твоя помощь.","Mi bezonas vian helpon"
"Can you help me?","Можешь мне помочь?","Ĉu vi povas helpi min?"
"I want to help you.","Я хочу вам помочь.","Mi volas helpi vin"
"What do you think?","Что думаешь?","Kion vi pensas?"
"Can you show me?","Можешь мне показать?","Ĉu vi povas montri al mi?"
"I don't know how to use it.","Я не знаю, как им пользоваться.","Mi ne scias, kiel uzi ĝin"
"Where can I make a call?","Где я могу позвонить?","Kie mi povas telefoni?"
"Could I borrow your pen?","Я могу одолжить вашу ручку?","Ĉu mi povus prunti vian plumon?"
"Would you assist me?","Не могли бы вы помочь мне?","Ĉu vi povus helpi min?"
"What do you suggest?","Что ты предлагаешь?","Kion vi proponas?"
"I suggest you going there.","Предлагаю тебе пойти туда.","Mi proponas, ke vi iru tien"
"Please let me know if you need my help.","Пожалуйста, дайте мне знать, если вам понадобится моя помощь.","Bonvolu sciigi min, se vi bezonos mian helpon"
"I'm looking for Maxim.","Я ищу Максима.","Mi serĉas Maksimon"
"What should I wear?","Что бы мне надеть?","Kion mi surmetu?"
"Can you do me a favour?","Ты могла бы оказать мне услугу?","Ĉu vi povus fari al mi servon?"
"I would appreciate your advice.","Я был бы признателен вам за совет.","Mi estus dankema pro via konsilo"
"I would advise you to get some rest.","Я бы посоветовал тебе немного отдохнуть.","Mi konsilus al vi iom ripozi"
"Are you going to help her?","Ты собираешься ей помочь?","Ĉu vi intencas helpi ŝin?"
"What do you think I should do?","Как ты думаешь, что мне делать?","Kion vi pensas, ke mi faru?"
"If I were you, I'd do the same.","На твоём месте я бы сделала то же самое.","Se mi estus vi, mi farus same"
"Can you hold this for me?","Можешь подержать это?","Ĉu vi povas teni ĉi tion por mi?"
"Please hold the door open for me.","Пожалуйста, придержите дверь открытой для меня.","Bonvolu teni la pordon malfermitan por mi"
"Could you keep an eye on that for a minute?","Не могли бы вы присмотреть за ним минутку?","Ĉu vi povus prizorgi tion dum momento?"
"Would you be so kind as to explain it again?","Не будете ли вы так добры объяснить это снова?","Ĉu vi estus tiel afabla klarigi tion denove?"
